Latitude , Longitude , Altitude , Temperature , Barometer , Sound , Transmit Time , DeviceId
42.8791365 , -71.520787 , 32187 , -2.40 , 8.13 , 866 , Tue Jun 20 2017 18:02:33 GMT-0400 (EDT) , 300234064222900
42.876287 , -71.5565946667 , 18047 , -36.40 , 83.16 , 835 , Tue Jun 20 2017 18:15:35 GMT-0400 (EDT) , 300234064222900
42.8817591667 , -71.5461658333 , 16825 , -38.80 , 93.10 , 835 , Tue Jun 20 2017 18:17:10 GMT-0400 (EDT) , 300234064222900
42.8900711667 , -71.5282785 , 15661 , -40.30 , 123.17 , 831 , Tue Jun 20 2017 18:18:30 GMT-0400 (EDT) , 300234064222900
42.8972861667 , -71.4972091667 , 14803 , -38.80 , 143.01 , 830 , Tue Jun 20 2017 18:19:52 GMT-0400 (EDT) , 300234064222900
42.9153831667 , -71.4652258333 , 13962 , -39.50 , 164.09 , 829 , Tue Jun 20 2017 18:21:20 GMT-0400 (EDT) , 300234064222900
42.9321491667 , -71.4301045 , 13135 , -39.00 , 185.41 , 826 , Tue Jun 20 2017 18:22:47 GMT-0400 (EDT) , 300234064222900
42.9509925 , -71.3869231667 , 12448 , -40.80 , 202.30 , 823 , Tue Jun 20 2017 18:24:14 GMT-0400 (EDT) , 300234064222900
42.9659711667 , -71.3358621667 , 11762 , -38.60 , 224.13 , 820 , Tue Jun 20 2017 18:26:03 GMT-0400 (EDT) , 300234064222900
42.9952151667 , -71.2829576667 , 10965 , -37.20 , 248.90 , 817 , Tue Jun 20 2017 18:27:38 GMT-0400 (EDT) , 300234064222900
43.0205671667 , -71.2292955 , 10212 , -35.50 , 275.82 , 814 , Tue Jun 20 2017 18:29:05 GMT-0400 (EDT) , 300234064222900
43.0418681667 , -71.1903628333 , 9655 , -33.40 , 296.24 , 811 , Tue Jun 20 2017 18:30:33 GMT-0400 (EDT) , 300234064222900
43.0617928333 , -71.1466635 , 9055 , -30.00 , 321.12 , 809 , Tue Jun 20 2017 18:31:59 GMT-0400 (EDT) , 300234064222900
43.0788156667 , -71.1054291667 , 8500 , -51.90 , 346.28 , 807 , Tue Jun 20 2017 18:33:25 GMT-0400 (EDT) , 300234064222900
43.0978063333 , -71.0659956667 , 7957 , -11.10 , 372.65 , 805 , Tue Jun 20 2017 18:34:48 GMT-0400 (EDT) , 300234064222900
43.1141696667 , -71.0270135 , 7450 , -18.70 , 398.63 , 802 , Tue Jun 20 2017 18:36:10 GMT-0400 (EDT) , 300234064222900
43.1294648333 , -70.98806 , 6950 , -16.30 , 425.79 , 801 , Tue Jun 20 2017 18:37:30 GMT-0400 (EDT) , 300234064222900
43.1405753333 , -70.9491696667 , 6461 , 8.70 , 452.70 , 799 , Tue Jun 20 2017 18:38:53 GMT-0400 (EDT) , 300234064222900
43.1495875 , -70.9167806667 , 5993 , -11.10 , 481.25 , 796 , Tue Jun 20 2017 18:40:15 GMT-0400 (EDT) , 300234064222900
43.1572305 , -70.8799753333 , 5461 , -7.10 , 516.98 , 794 , Tue Jun 20 2017 18:41:48 GMT-0400 (EDT) , 300234064222900
43.1615503333 , -70.850941 , 4973 , -4.90 , 551.41 , 793 , Tue Jun 20 2017 18:43:15 GMT-0400 (EDT) , 300234064222900
43.1651685 , -70.826226 , 4466 , -2.40 , 586.56 , 791 , Tue Jun 20 2017 18:44:49 GMT-0400 (EDT) , 300234064222900
43.1676793333 , -70.8056133333 , 4002 , -2.30 , 622.26 , 791 , Tue Jun 20 2017 18:46:28 GMT-0400 (EDT) , 300234064222900
43.1700053333 , -70.7846123333 , 3543 , 0.50 , 659.47 , 788 , Tue Jun 20 2017 18:47:50 GMT-0400 (EDT) , 300234064222900
43.1734593333 , -70.7703681667 , 3175 , 1.90 , 692.34 , 790 , Tue Jun 20 2017 18:49:15 GMT-0400 (EDT) , 300234064222900
43.17664 , -70.7529816667 , 2717 , 3.30 , 731.11 , 795 , Tue Jun 20 2017 18:51:01 GMT-0400 (EDT) , 300234064222900
43.1815235 , -70.7281576667 , 2135 , 7.00 , 784.86 , 793 , Tue Jun 20 2017 18:52:35 GMT-0400 (EDT) , 300234064222900
43.1848013333 , -70.7097673333 , 1695 , 10.20 , 828.51 , 791 , Tue Jun 20 2017 18:53:59 GMT-0400 (EDT) , 300234064222900
43.1882561667 , -70.6946603333 , 1304 , 13.50 , 867.08 , 787 , Tue Jun 20 2017 18:55:20 GMT-0400 (EDT) , 300234064222900
43.1917118333 , -70.6798588333 , 933 , 16.70 , 905.85 , 784 , Tue Jun 20 2017 18:56:39 GMT-0400 (EDT) , 300234064222900
43.1932325 , -70.6672736667 , 547 , 20.20 , 950.37 , 779 , Tue Jun 20 2017 18:58:02 GMT-0400 (EDT) , 300234064222900
43.1935685 , -70.65665 , 99 , 24.30 , 998.70 , 771 , Tue Jun 20 2017 19:00:09 GMT-0400 (EDT) , 300234064222900
43.193581 , -70.6565411667 , 96 , 25.00 , 998.66 , 766 , Tue Jun 20 2017 19:01:32 GMT-0400 (EDT) , 300234064222900
43.1935858333 , -70.6565756667 , 121 , 25.00 , 998.53 , 762 , Tue Jun 20 2017 19:02:57 GMT-0400 (EDT) , 300234064222900
43.1935716667 , -70.6565795 , 101 , 25.10 , 998.68 , 760 , Tue Jun 20 2017 19:04:22 GMT-0400 (EDT) , 300234064222900
43.193572 , -70.656569 , 98 , 25.40 , 998.65 , 757 , Tue Jun 20 2017 19:05:46 GMT-0400 (EDT) , 300234064222900
